Prizes for the claw crane;Moon, Luna Park
Lug nuts;Robots of Chapek 9
"A sign saying ""Please Don't Drink the Emperor""";Trisol, Emperor Bont
Subpoenas;Sicily 8
Guenter the super intelligent monkey;Mars University
Ceremonial oversized Scissors;DOOP headquarters
Pillows;High gravity world Stumbos 4
Atom of jumbonium for the Miss Universe Pageant;Tova 9
Popcorn;People of Cineplex 14
Zuban cigars;Earth
Letters for Santa;Neptune, Robot Santa Claus
A sandstone block;Osiris 4
Medication;Hive mind of Nigel 7
Candy hearts;Omicron Persei 8, Lrrr and Ndnd
Ice from Halley's Comet;Earth
Billion-mile security fence;Deep Space, Leo Wong
e-Waste;Antares 3
A soufflé laced with nitroglycerine;Waldorf Asteroid
New clamps for Clamps;Long Long Island, The Donbot's mansion
A statue commemorating the loss of the first Planet Express crew;Earth, Professor Farnsworth
Box;Pandora
Colossal tooth whitener, a mega-deodorant, a humongous acne cream;Unattractive giant monster
A package;Chapek 9, Mr. 147573952589676412927
